day,month,type,description
01,01,Nacional,Confraternização Universal
25,01,Municipal,Aniversário de São Paulo
20,02,Nacional,Carnaval
21,02,Nacional,Carnaval
22,02,Nacional,Quarta de Cinzas
09,04,Nacional,Páscoa
21,04,Nacional,Dia de Tiradentes
01,05,Nacional,Dia do Trabalhador
08,06,Nacional,Corpus Christi
09,07,Estadual,Rev. Const. 1932
07,9,Nacional,Independência do Brasil
12,10,Nacional,Nossa Senhora Aparecida
02,11,Nacional,Dia de Finados
15,11,Nacional, Proclamação da República 
20,11,Municipal,Consciência Negra
25,12,Nacional,Natal